RPG-97-141-01-PBP,Cited by: 77  Impact Factor: 2.08
RSG-DDC-112979,Cited by: 38  Impact Factor: 2.73
PF-12-052-01-CSM,Cited by: 15  Impact Factor: 13.214
IRG-07-06401,Cited by: 76  Impact Factor: 35.209
RPG-96-101-03-CSM,Cited by: 118  Impact Factor: 10.822
RSG-06-117-01,Cited by: 17  Impact Factor: 21.757
IRG 97-219-08,Cited by: 8  Impact Factor: 4.4
RSG0404251,Cited by: 30  Impact Factor: 15.28
RSG0618801MGO,Cited by: 26  Impact Factor: -
RSG-13-052-01-MPC,Cited by: 2  Impact Factor: 10.015
PF-05-175-01-TBE,Cited by: 190  Impact Factor: 5.082
RSG-04-219-01-CCE,Cited by: 28  Impact Factor: 3.02
RSG-02-039-01-CSM,Cited by: 43  Impact Factor: 10.822,Cited by: 41  Impact Factor: 10.822
TBE-114083,Cited by: 57  Impact Factor: 10.822
RSG-09-017-01,Cited by: 4  Impact Factor: 21.757
RSG-06-162-01-GMC,Cited by: 95  Impact Factor: 38.597
PF-09-136-01-RMC,Cited by: 70  Impact Factor: 38.597
RSG-04-050-01-GMC,Cited by: 6  Impact Factor: 2.8,Cited by: 4  Impact Factor: 8.278,Cited by: 31  Impact Factor: 8.278,Cited by: 29  Impact Factor: 8.278,Cited by: 44  Impact Factor: 8.278
RSG-03-140-01-CNE,Cited by: 88  Impact Factor: 1.776
RSG-12-059-01-DDC,Cited by: 0  Impact Factor: 10.015
PF-11-067-01-TBE,Cited by: 6  Impact Factor: 7.357
MSRG-12-034-01-CCE,Cited by: 4  Impact Factor: 7.806
PF-10-258-01-MPC,Cited by: 22  Impact Factor: 5.442
CCCDA-00-180-01,Cited by: 13  Impact Factor: 1.61
RSG-07-083-01-MGO,Cited by: 14  Impact Factor: 4.4
RSG-10-126-01-CCE,Cited by: 1  Impact Factor: 6.636,Cited by: 12  Impact Factor: 6.636,Cited by: 87  Impact Factor: 6.636,Cited by: 6  Impact Factor: 6.636,Cited by: 1  Impact Factor: 6.636
RPG-98-109-01-TBE,Cited by: 76  Impact Factor: 10.822
RSG-04-052-01-GMC,Cited by: 36  Impact Factor: 10.822
RSG-01-064-01-CSM,Cited by: 759  Impact Factor: 10.822
RPG-99-194-04-GMC,Cited by: 7  Impact Factor: 3.1
BE232,Cited by: 111  Impact Factor: 10.822
RPG-99-183-01-CCE,Cited by: 57  Impact Factor: 5.13
DDC-105895,Cited by: 35  Impact Factor: 10.822
RPG 83821,Cited by: 50  Impact Factor: 2.14
IRG-97-149,Cited by: 32  Impact Factor: 2.09
