RSGGMC-112251,articles.I-N\Nat_Chem_Biol\Nat_Chem_Biol_2009_Feb_4_5(2)_100-107.nxml,Small molecule-mediated disruption of Wnt-dependent signaling in tissue regeneration and cancer,nature chemical biology,"Chen, Baozhi & Dodge, Michael E. & Tang, Wei & Lu, Jianming & Ma, Zhiqiang & Fan, Chih-Wei & Wei, Shuguang & Hao, Wayne & Kilgore, Jessica & Williams, Noelle S. & Roth, Michael G. & Amatruda, James F. & Chen, Chuo & Lum, Lawrence",422
RSG-03-048-01,articles.O-Z\PLoS_ONE\PLoS_One_2011_Aug_31_6(8)_e24478.nxml,SVIP Induces Localization of p97/VCP to the Plasma and Lysosomal Membranes and Regulates Autophagy SVIP Regulates p97/VCP Localization and Autophagy,plos one,"Wang, Yang & Ballar, Petek & Zhong, Yongwang & Zhang, Xuebao & Liu, Chao & Zhang, Ying-Jiu & Monteiro, Mervyn J. & Li, Jun & Fang, Shengyun",
RSG-03-048-01,articles.A-B\BMC_Cell_Biol\BMC_Cell_Biol_2007_Jan_18_8_3.nxml,Shared as well as distinct roles of EHD proteins revealed by biochemical and functional comparisons in mammalian cells and C. elegans,bmc cell biology,"George, Manju & Ying, GuoGuang & Rainey, Mark A & Solomon, Aharon & Parikh, Pankit T & Gao, Qingshen & Band, Vimla & Band, Hamid",
RSG-03-048-01,articles.I-N\Mol_Syst_Biol\Mol_Syst_Biol_2006_Dec_12_2_67.nxml,A stochastic model of Escherichia coli AI 2 quorum signal circuit reveals alternative synthesis pathways,molecular systems biology,"Li, Jun & Wang, Liang & Hashimoto, Yoshifumi & Tsao, Chen-Yu & Wood, Thomas K & Valdes, James J & Zafiriou, Evanghelos & Bentley, William E",
RSG-03-048-01,articles.O-Z\PLoS_ONE\PLoS_One_2013_Sep_5_8(9)_e73101.nxml,Effects of Neurolytic Celiac Plexus Block on Liver Regeneration in Rats with Partial Hepatectomy Effects of NCPB on Liver Regeneration in HP Rats,plos one,"Li, Jun & Yan, Hong-Tao & Che, Jian-Xiang & Bai, Shu-Rong & Qiu, Qing-Ming & Ren, Ling & Pan, Fan & Sun, Xiao-Qin & Tian, Fu-Zhou & Li, Dong-Xuan & Tang, Li-Jun",
RSG-03-048-01,articles.O-Z\PLoS_ONE\PLoS_One_2011_Sep_27_6(9)_e25454.nxml,miR 18a Impairs DNA Damage Response through Downregulation of Ataxia Telangiectasia Mutated (ATM) Kinase miR 18a Is Involved in DNA Damage Response,plos one,"Song, Libing & Lin, Chuyong & Wu, Zhiqiang & Gong, Hui & Zeng, Yong & Wu, Jueheng & Li, Mengfeng & Li, Jun",
RSG-03-048-01,articles.I-N\Nucleic_Acids_Res\Nucleic_Acids_Res_2005_Jun_16_33(11)_e97.nxml,Real time investigation of nucleic acids phosphorylation process using molecular beacons,nucleic acids research,"Tang, Zhiwen & Wang, Kemin & Tan, Weihong & Ma, Changbei & Li, Jun & Liu, Lingfeng & Guo, Qiuping & Meng, Xiangxian",
RSG-03-048-01,articles.C-H\Environ_Health_Perspect\Environ_Health_Perspect_2007_Apr_9_115(4)_643-647.nxml,"Arsenic and Fluoride Exposure in Drinking Water: Childrens IQ and Growth in Shanyin County, Shanxi Province, China",environmental health perspectives,"Wang, San-Xiang & Wang, Zheng-Hui & Cheng, Xiao-Tian & Li, Jun & Sang, Zhi-Ping & Zhang, Xiang-Dong & Han, Ling-Ling & Qiao, Xiao-Yan & Wu, Zhao-Ming & Wang, Zhi-Quan",
RSG-03-048-01,articles.C-H\Genome_Biol\Genome_Biol_2014_May_23_15(5)_R71.nxml,A shared transcriptional program in early breast neoplasias despite genetic and clinical distinctions,genome biology,"Brunner, Alayne L & Li, Jun & Guo, Xiangqian & Sweeney, Robert T & Varma, Sushama & Zhu, Shirley X & Li, Rui & Tibshirani, Robert & West, Robert B",
RSG-03-048-01,articles.I-N\Nat_Commun\Nat_Commun_2013_Jul_5_4_2138.nxml,Analysis of elite variety tag SNPs reveals an important allele in upland rice,nature communications,"Lyu, Jun & Zhang, Shilai & Dong, Yang & He, Weiming & Zhang, Jing & Deng, Xianneng & Zhang, Yesheng & Li, Xin & Li, Baoye & Huang, Wangqi & Wan, Wenting & Yu, Yang & Li, Qiong & Li, Jun & Liu, Xin & Wang, Bo & Tao, Dayun & Zhang, Gengyun & Wang, Jun & Xu, Xun & Hu, Fengyi & Wang, Wen",
RSG-03-048-01,articles.A-B\BMC_Cancer\BMC_Cancer_2009_Jun_30_9_215.nxml,The prosurvival role of autophagy in Resveratrol induced cytotoxicity in human U251 glioma cells,bmc cancer,"Li, Jun & Qin, Zhenghong & Liang, Zhongqin",
RSG-03-048-01,articles.O-Z\Prev_Chronic_Dis\Prev_Chronic_Dis_2010_Jun_15_7(4)_A84.nxml,Use of the Prostate Specific Antigen Test Among Men Aged 75 Years or Older in the United States: 2006 Behavioral Risk Factor Surveillance System,preventing chronic disease,"Li, Jun & Zhao, Guixiang & Pollack, Lori A. & Smith, Judith Lee & Joseph, Djenaba A.",
RSG-03-048-01,articles.A-B\BMC_Biol\BMC_Biol_2011_Sep_21_9_60.nxml,"The conservation and uniqueness of the caspase family in the basal chordate, amphioxus",bmc biology,"Xu, Liqun & Yuan, Shaochun & Li, Jun & Ruan, Jie & Huang, Shengfeng & Yang, Manyi & Huang, Huiqing & Chen, Shangwu & Ren, Zhenghua & Xu, Anlong",
RSG-03-048-01,articles.O-Z\Virol_J\Virol_J_2011_May_2_8_199.nxml,"Dynamic changes of cytotoxic T lymphocytes (CTLs), natural killer (NK) cells, and natural killer T (NKT) cells in patients with acute hepatitis B infection",virology journal,"Li, Jun & Han, Yaping & Jin, Ke & Wan, Yufeng & Wang, Shixia & Liu, Bo & Liu, Yuan & Lu, Shan & Huang, Zuhu",
RSG-03-048-01,articles.O-Z\Onco_Targets_Ther\Onco_Targets_Ther_2014_May_27_7_823-827.nxml,Comprehensive clinical and pathological analysis of aggressive renal epithelioid angiomyolipoma: report of three cases,oncotargets and therapy,"Luo, Jindan & Liu, Ben & Wang, Yanli & Li, Jun & Wang, Ping & Chen, Jun & Wang, Chaojun",
RSG-03-048-01,articles.O-Z\PLoS_ONE\PLoS_One_2012_May_9_7(5)_e36562.nxml,Regulation of Neuronal Cell Death by c Abl Hippo/MST2 Signaling Pathway A Conserved Signaling Pathway in Neuron Apoptosis,plos one,"Liu, Weizhe & Wu, Junbing & Xiao, Lei & Bai, Yujie & Qu, Aiqin & Zheng, Zheng & Yuan, Zengqiang",
RSG-03-048-01,articles.A-B\Arthritis_Res_Ther\Arthritis_Res_Ther_2014_May_1_16(3)_R106.nxml,Ginsenoside Rh1 potentiates dexamethasones anti inflammatory effects for chronic inflammatory disease by reversing dexamethasone induced resistance,arthritis research & therapy,"Li, Jun & Du, Juan & Liu, Dong & Cheng, Binbin & Fang, Fanfu & Weng, Li & Wang, Chen & Ling, Changquan",
RSG-03-048-01,articles.O-Z\PLoS_ONE\PLoS_One_2012_Apr_23_7(4)_e35754.nxml,Cyr61/CCN1 Is Regulated by Wnt/ Catenin Signaling and Plays an Important Role in the Progression of Hepatocellular Carcinoma Cyr61 Is Regulated by Wnt and Plays a Role in HCC,plos one,"Li, Zhi-Qiang & Ding, Wei & Sun, Shi-Jun & Li, Jun & Pan, Jing & Zhao, Chen & Wu, Wei-Ru & Si, Wei-Ke",
RSG-03-048-01,articles.O-Z\Onco_Targets_Ther\Onco_Targets_Ther_2014_Jun_2_7_887-893.nxml,High expression of 23 kDa protein of augmenter of liver regeneration (ALR) in human hepatocellular carcinoma,oncotargets and therapy,"Yu, Hai-Ying & Zhu, Man-Hua & Xiang, Dai-Rong & Li, Jun & Sheng, Ji-Fang",
